Dye_Name,Concentration,R_400,R_410,R_420,R_430,R_440,R_450,R_460,R_470,R_480,R_490,R_500,R_510,R_520,R_530,R_540,R_550,R_560,R_570,R_580,R_590,R_600,R_610,R_620,R_630,R_640,R_650,R_660,R_670,R_680,R_690,R_700
Suncron Black KSL_I,9.0,3.472926,2.496836,2.302137,2.195177,2.100223,2.061698,2.009126,1.95937,1.954266,1.939536,1.908442,1.910164,1.88374,1.853697,1.851105,1.835369,1.784839,1.739569,1.712723,1.726393,1.73634,1.740505,1.771016,1.789958,1.815897,1.8744,1.991836,2.267525,3.322846,5.523883,9.836979
Suncron Black KSL_I,10.0,3.475831,2.395534,2.273447,2.152164,2.050326,2.013881,1.963875,1.914445,1.907909,1.896019,1.865888,1.865555,1.839086,1.817282,1.818431,1.801907,1.752108,1.712877,1.692045,1.710228,1.72572,1.72633,1.752533,1.769954,1.793616,1.84653,1.966514,2.245744,3.010885,5.04621,9.06169
Suncron Black S-FWH_I,1.0,12.59,10.74675,9.575751,8.89625,8.9265,9.28275,10.278749,11.70325,13.404,13.376001,12.6775,11.278751,9.987,8.849999,7.94525,7.241751,6.701,6.30425,6.11325,6.0605,6.1565,6.33775,6.75775,7.568499,9.2225,12.09175,16.67725,22.04825,32.113999,38.5425,48.201999
Suncron Black S-FWH_I,2.0,7.106499,5.8415,5.117251,4.7295,4.73,4.9535,5.576,6.442,7.58725,7.56775,7.06725,6.1155,5.3005,4.63,4.1235,3.77225,3.502,3.2725,3.175,3.168,3.2275,3.32325,3.534,3.97825,4.8765,6.653,9.8745,13.944751,22.7395,29.045752,38.43075
Suncron Black S-FWH_I,3.0,4.9865,4.05375,3.599,3.366,3.33325,3.4835,3.91975,4.45925,5.279,5.269,4.898,4.21675,3.669,3.24175,2.96625,2.74025,2.5735,2.43775,2.37575,2.38475,2.42475,2.47825,2.603,2.89625,3.39525,4.55775,6.88675,9.99525,17.602001,23.613501,32.601249
Suncron Black S-FWH_I,4.0,3.89925,3.17775,2.91675,2.73625,2.715,2.81175,3.06225,3.45575,4.0395,4.039,3.7645,3.25375,2.8995,2.59775,2.43275,2.30475,2.1965,2.11,2.069,2.0825,2.11675,2.151,2.23025,2.3845,2.74925,3.4975,5.2295,7.62825,14.226499,19.922501,28.529
Suncron Black S-FWH_I,5.0,3.2515,2.70775,2.55025,2.4045,2.38575,2.45075,2.64225,2.89775,3.222,3.30475,3.07375,2.72025,2.48025,2.2695,2.161,2.0915,2.013,1.952,1.9225,1.944,1.974,1.99575,2.049,2.1725,2.42525,2.9145,4.19125,6.07175,11.758499,17.16425,25.392753
Suncron Black S-FWH_I,6.0,3.0285,2.565,2.44625,2.31875,2.3015,2.35725,2.51675,2.736,3.01675,3.0865,2.8805,2.5675,2.362,2.18025,2.09075,2.0405,1.97325,1.9185,1.8945,1.91825,1.947,1.9655,2.00825,2.11,2.3115,2.76275,3.856,5.52025,10.84775,16.09025,24.112247
Suncron Black S-FWH_I,7.0,3.58225,3.09775,2.84325,2.56075,2.39875,2.288,2.228,2.20175,2.22,2.2445,2.2335,2.2265,2.22975,2.2195,2.18925,2.13925,2.05025,1.9725,1.9315,1.93925,1.95,1.958,1.9825,2.04225,2.1385,2.32075,2.57175,2.9435,3.44525,3.8325,4.57825
Suncron Black S-FWH_I,8.0,2.5225,2.29425,2.18675,2.10975,2.10075,2.12825,2.21925,2.3405,2.52,2.567,2.425,2.2235,2.09575,1.991,1.942,1.92525,1.875,1.835,1.813,1.83575,1.85975,1.87625,1.90775,1.971,2.093,2.43925,3.07575,4.2275,8.51275,13.312751,20.771751
Suncron Black S-FWH_I,9.0,3.03675,2.671,2.507,2.29425,2.17975,2.1075,2.0675,2.044,2.0495,2.0635,2.04675,2.03675,2.036,2.0265,2.00875,1.98925,1.925,1.87,1.83975,1.8505,1.86525,1.8755,1.8945,1.9315,1.9975,2.126,2.26475,2.526,2.92925,3.21525,3.81775
Suncron Black S-FWH_I,10.0,2.35475,2.14675,2.081,2.02225,2.0135,2.0385,2.104,2.19275,2.33925,2.389,2.27825,2.1215,2.02,1.9395,1.907,1.90375,1.85875,1.82,1.797,1.81875,1.84125,1.8555,1.87975,1.93025,2.03125,2.3255,2.8735,3.88575,7.82575,12.42925,19.642001
Suncron Black S-FWK_I,1.0,19.756787,16.750014,15.139338,14.10431,13.703592,13.898751,14.453973,15.429719,16.363357,16.156828,15.122432,13.858819,12.731963,11.671642,10.749868,10.00804,9.579225,9.272207,9.081724,8.986542,9.093786,9.396318,9.582125,9.712154,9.868461,10.580665,12.702873,16.427083,23.124857,27.854678,34.860221
Suncron Black S-FWK_I,2.0,12.678656,10.136615,8.827019,8.038352,7.815804,7.910787,8.296477,9.014693,9.604308,9.494326,8.743037,7.826088,7.038543,6.358559,5.772761,5.34232,5.065323,4.865332,4.75654,4.725368,4.809087,5.003178,5.153407,5.26302,5.425854,5.887444,7.183243,9.759247,14.822403,18.934111,25.135297
Suncron Black S-FWK_I,3.0,9.570198,7.314741,6.248719,5.67513,5.485475,5.555519,5.859045,6.375842,6.842308,6.763889,6.174636,5.482703,4.90282,4.40784,4.029063,3.760567,3.552628,3.409563,3.333743,3.32318,3.388784,3.519122,3.631052,3.710525,3.829091,4.08825,5.032372,6.907682,10.885379,14.513372,20.101431
Suncron Black S-FWK_I,4.0,7.758024,5.729039,4.86379,4.404302,4.251029,4.307575,4.554267,4.9567,5.257431,5.224809,4.740813,4.229836,3.819639,3.439267,3.166267,2.990833,2.840743,2.737379,2.686328,2.694142,2.749496,2.848282,2.937528,3.004362,3.104579,3.399099,3.971247,5.388569,8.570278,11.718622,16.707686
Suncron Black S-FWK_I,5.0,6.517633,4.693395,4.041329,3.650524,3.511017,3.550038,3.745984,4.055733,4.269641,4.273023,3.899717,3.487852,3.164909,2.876569,2.694005,2.56821,2.45583,2.37873,2.340536,2.345997,2.390877,2.459915,2.531347,2.582844,2.658823,2.813144,3.303168,4.393473,6.990793,9.813664,14.369266
Suncron Black S-FWK_I,6.0,5.653268,3.987482,3.417805,3.162368,3.024911,3.060386,3.210484,3.435078,3.614875,3.593355,3.319772,2.990018,2.739472,2.517438,2.38193,2.290573,2.205688,2.150384,2.124226,2.141459,2.181325,2.240017,2.307605,2.360552,2.434298,2.574806,2.97242,3.78993,5.933992,8.371788,12.418084
Suncron Black S-FWK_I,7.0,5.185661,3.619168,3.115328,2.904097,2.774791,2.803842,2.926629,3.112819,3.260535,3.229864,3.006993,2.728052,2.526251,2.343024,2.247645,2.174785,2.099887,2.057382,2.043205,2.067633,2.105146,2.155149,2.221707,2.274626,2.346616,2.474654,2.816164,3.508547,5.349054,7.566167,11.277948
Suncron Black S-FWK_I,8.0,4.621752,3.223441,2.80522,2.635687,2.517604,2.538226,2.635476,2.789808,2.914971,2.886149,2.696218,2.473866,2.303738,2.161071,2.095002,2.044902,1.989553,1.954551,1.938205,1.960939,1.991006,2.0262,2.074995,2.116209,2.172014,2.293872,2.597101,3.097744,4.646976,6.638993,10.021514
Suncron Black S-FWK_I,9.0,4.436756,3.086878,2.698883,2.545204,2.440372,2.463883,2.560234,2.714455,2.841996,2.819309,2.637823,2.432212,2.272596,2.141468,2.081423,2.039365,1.984514,1.947998,1.934167,1.962456,2.001382,2.042667,2.106669,2.160059,2.227512,2.353203,2.592795,3.206649,4.764879,6.690869,9.949653
Suncron Black S-FWK_I,10.0,4.079097,2.87848,2.568633,2.406056,2.320991,2.3467,2.428372,2.560987,2.674481,2.655838,2.487699,2.302233,2.162344,2.055015,2.013022,1.974423,1.923301,1.890785,1.881414,1.911385,1.946969,1.989466,2.049403,2.099987,2.158583,2.276377,2.567723,3.041265,4.500107,6.294671,9.368411
