Dye_Name,Concentration,R_400,R_410,R_420,R_430,R_440,R_450,R_460,R_470,R_480,R_490,R_500,R_510,R_520,R_530,R_540,R_550,R_560,R_570,R_580,R_590,R_600,R_610,R_620,R_630,R_640,R_650,R_660,R_670,R_680,R_690,R_700
Suncron Navy Blue T-FW_I,0.5,32.75587,31.693998,30.797964,30.056831,29.423383,29.145634,28.95385,28.763637,28.13831,26.831061,25.030509,22.77966,20.543058,18.364686,16.427571,14.747261,13.352115,12.300701,11.608032,11.312758,11.185414,11.288938,11.635054,12.727271,14.720485,17.68208,21.843392,26.934195,34.05318,38.502556,45.549321
Suncron Navy Blue T-FW_I,1.0,24.479219,22.986574,22.093135,21.356778,20.80012,20.519552,20.306748,20.102751,19.5364,18.376629,16.816969,14.873075,13.022405,11.289056,9.811419,8.560932,7.565796,6.841406,6.410711,6.196488,6.12326,6.196064,6.530952,7.166709,8.578941,10.784008,14.116031,18.42802,24.896497,29.201457,36.013559
Suncron Navy Blue T-FW_I,2.0,16.865811,15.361917,14.584608,13.897996,13.439676,13.197263,13.00943,12.823956,12.345245,11.401697,10.150266,8.709803,7.36782,6.196128,5.274249,4.536189,4.008852,3.611287,3.396883,3.284292,3.259309,3.30755,3.455243,3.832244,4.5913,5.939745,8.20097,11.400183,16.732116,20.723924,27.024466
Suncron Navy Blue T-FW_I,4.0,10.82868,9.414169,8.772846,8.234894,7.859679,7.669413,7.510653,7.322391,6.991226,6.380534,5.523762,4.648665,3.88773,3.276246,2.873532,2.598675,2.370375,2.215097,2.138414,2.122845,2.130543,2.152801,2.227892,2.371282,2.722663,3.245957,4.407295,6.332003,10.009303,13.353959,18.773395
Suncron Navy Blue T-FW_I,6.0,8.248715,7.030515,6.478185,6.079725,5.781154,5.623114,5.475937,5.330181,5.088782,4.600838,3.996424,3.374774,2.915609,2.540194,2.296568,2.156059,2.027046,1.946067,1.909488,1.911696,1.92529,1.938734,1.986923,2.071299,2.256831,2.548786,3.254104,4.548451,7.271196,10.1003,14.806676
Suncron Navy Blue T-GFW_I,0.01,69.029242,71.575928,73.312348,74.49072,75.100619,75.697005,76.328069,76.773608,76.975054,76.720506,76.022774,74.958402,73.710281,72.346514,71.111268,69.98865,68.78134,67.892843,67.298979,67.077613,67.061484,67.31813,67.952847,69.278109,71.689534,75.017118,78.810942,82.349145,86.363959,87.443209,89.117944
Suncron Navy Blue T-GFW_I,0.025,64.470637,65.788102,66.19032,66.6219,66.536254,66.770291,67.138082,67.386335,67.369998,66.522098,65.093213,63.244909,61.232054,59.1856,57.362986,55.741763,54.170525,52.983803,52.200383,51.965433,51.923239,52.200758,52.956372,54.606259,57.651609,62.039614,67.604554,73.370737,80.064285,82.636827,86.075521
Suncron Navy Blue T-GFW_I,0.05,58.648783,59.012902,58.765292,58.644354,58.231974,58.295786,58.509564,58.665824,58.479327,57.310927,55.463564,53.14061,50.749195,48.344445,46.238774,44.379693,42.665744,41.36599,40.545005,40.282089,40.235421,40.577447,41.272008,42.971933,46.138081,50.806427,57.033765,64.050984,72.808546,76.558423,81.941003
Suncron Navy Blue T-GFW_I,0.1,51.349998,50.894809,49.964279,49.314058,48.655546,48.581582,48.675311,48.758397,48.465911,47.165954,45.194077,42.733037,40.239522,37.796456,35.637069,33.736804,32.031354,30.764198,29.960972,29.709738,29.670316,29.916051,30.613223,32.27675,35.333669,39.8592,46.092233,53.50607,63.430279,68.320227,75.474226
Suncron Navy Blue T-GFW_I,0.25,39.601165,38.287762,36.996233,36.062992,35.322866,35.203344,35.227916,35.275966,34.935111,33.66513,31.772941,29.422611,27.115893,24.873289,22.891136,21.16168,19.689873,18.578149,17.889044,17.680284,17.664142,17.882806,18.477267,19.952661,22.705378,26.82046,32.698745,39.975426,50.262773,56.171292,65.002275
Suncron Navy Blue T-GFW_I,0.5,31.07208,29.302752,27.986363,26.954657,26.291496,26.108232,26.12327,26.139262,25.83726,24.666254,22.917576,20.758349,18.695277,16.732079,15.040243,13.579427,12.37843,11.472744,10.975902,10.775173,10.762284,10.934097,11.412542,12.598273,14.881328,18.442258,23.75754,30.56775,40.556186,46.737713,56.220466
Suncron Navy Blue T-GFW_I,1.0,22.529821,20.68187,19.428466,18.471505,17.871651,17.69329,17.695779,17.686839,17.410755,16.379651,14.88649,13.109747,11.433189,9.91877,8.667025,7.634503,6.811026,6.210316,5.921124,5.772675,5.777131,5.914011,6.188842,6.983331,8.585011,11.254945,15.560615,21.508749,30.825001,36.935875,46.381491
Suncron Navy Blue T-GFW_I,2.0,15.146185,13.325942,12.285636,11.466257,11.005163,10.881509,10.839687,10.798423,10.514364,9.778591,8.64967,7.387619,6.262159,5.294559,4.579331,3.996609,3.613999,3.296748,3.134209,3.074152,3.087886,3.162479,3.32477,3.724493,4.568287,6.186222,9.138332,13.70776,21.615581,27.419811,36.367631
Suncron Navy Blue T-GFW_I,4.0,9.413138,7.844044,7.090805,6.51354,6.186235,6.070529,6.020821,5.971117,5.831193,5.325853,4.614257,3.890736,3.303706,2.871731,2.579403,2.383396,2.212283,2.101702,2.048757,2.051201,2.068689,2.095935,2.17454,2.324488,2.713053,3.332756,4.916792,7.834594,13.759749,19.063848,27.349943
Suncron Navy Blue T-GFW_I,6.0,8.331721,6.808344,6.091174,5.603945,5.359708,5.289312,5.295481,5.307882,5.224903,4.806379,4.190121,3.557938,3.092996,2.69869,2.436605,2.278394,2.129341,2.03809,1.997633,2.002513,2.016682,2.036038,2.101212,2.222808,2.557523,3.107029,4.532395,7.221127,12.750706,17.861873,25.834423
Suncron Orange E-H3R 200%_I,0.01,63.666786,62.694633,60.687794,58.620918,56.414074,54.787182,53.810268,53.585304,53.737129,54.348434,55.730949,57.87307,60.959003,65.034706,69.687607,74.526741,78.661713,81.732368,83.827751,85.080566,85.793213,86.235031,86.459389,86.655479,86.872864,87.165436,87.379379,87.537781,87.6632,87.566925,87.424004
Suncron Orange E-H3R 200%_I,0.025,55.094124,52.005459,48.732903,45.863884,43.295528,41.463196,40.371223,40.091164,40.210999,40.840988,42.284264,44.537251,47.905521,52.563911,58.249832,64.877754,71.246513,76.660576,80.818306,83.509979,85.07254,85.994148,86.407471,86.720116,87.012268,87.337219,87.566528,87.727135,87.842094,87.755615,87.606972
Suncron Orange E-H3R 200%_I,0.05,46.968681,42.800774,39.177525,36.137024,33.613171,31.843449,30.813637,30.551657,30.671274,31.286484,32.680271,34.891533,38.212238,42.903526,48.804878,56.05901,63.582886,70.750664,76.746544,81.020409,83.748779,85.374161,86.132774,86.588066,86.970268,87.337471,87.591949,87.767914,87.918106,87.843033,87.707443
Suncron Orange E-H3R 200%_I,0.1,38.065208,33.40432,29.785065,26.858585,24.541,22.936747,22.012306,21.771769,21.879969,22.430592,23.707613,25.734192,28.841002,33.330154,39.152092,46.544701,54.709404,63.106693,70.917389,77.021004,81.304565,83.973122,85.315201,86.098518,86.581146,87.023338,87.339958,87.55307,87.73819,87.657425,87.508041
Suncron Orange E-H3R 200%_I,0.25,25.428396,20.968077,17.841284,15.460883,13.684246,12.480164,11.791193,11.629198,11.713377,12.046187,12.976104,14.515603,16.988779,20.747168,25.838745,32.672607,40.730343,49.787365,59.191906,67.733719,74.768471,79.814522,82.668732,84.373871,85.34243,86.080673,86.497795,86.811958,87.091461,87.02652,86.917778
Suncron Orange E-H3R 200%_I,0.5,17.161659,13.371152,10.894054,9.132231,7.863029,7.032618,6.583177,6.459726,6.516242,6.753598,7.31145,8.357219,10.122183,12.997615,17.165533,23.093836,30.522177,39.314106,49.06139,58.636707,67.420731,74.484444,78.885368,81.621376,83.221741,84.297867,84.98204,85.395226,85.831009,85.785484,85.753181
Suncron Orange E-H3R 200%_I,1.0,10.843773,7.927239,6.285215,5.175819,4.414095,3.972788,3.733899,3.628835,3.663522,3.804778,4.097364,4.658158,5.716393,7.597214,10.645838,15.38215,21.802055,29.921537,39.384823,49.246258,59.104557,67.998993,74.254723,78.485893,80.995552,82.629242,83.633087,84.180084,84.787346,84.768501,84.800072
Suncron Orange E-H3R 200%_I,2.0,6.233887,4.457559,3.545222,3.032688,2.702502,2.535965,2.413574,2.353268,2.368526,2.414002,2.509452,2.766583,3.186345,4.129587,5.888682,9.031114,13.866735,20.733492,29.400438,38.977509,49.236202,59.437382,67.565048,73.659828,77.55822,80.089012,81.627335,82.548508,83.364136,83.430817,83.55941
Suncron Orange E-H3R 200%_I,4.0,3.62185,2.748188,2.41366,2.23407,2.088808,2.031817,1.985098,1.949565,1.954922,1.959841,1.967559,2.06399,2.1948,2.512708,3.245375,4.857968,7.797223,12.803131,19.98481,28.704496,38.726833,49.518021,59.062843,67.14547,72.92646,76.81572,79.242203,80.688324,81.951927,82.055687,82.300247
Suncron Orange E-H3R 200%_I,6.0,2.992369,2.429336,2.249988,2.135091,2.039063,2.004613,1.969146,1.938117,1.942246,1.933535,1.922837,1.978654,2.041871,2.237951,2.684726,3.722177,5.837848,9.838414,16.055927,24.077551,33.676567,44.389565,54.286777,63.135674,69.832458,74.534554,77.545143,79.375061,80.938461,81.135872,81.429886
Suncron Orange S-3RL_I,0.01,64.057922,63.958585,62.687373,61.586165,60.215753,59.353626,59.145111,59.350699,60.012448,61.092651,62.866545,65.413612,68.583399,72.323227,76.002371,79.464114,82.121462,83.909929,85.072416,85.749108,86.180532,86.519396,86.674029,86.822176,87.016714,87.302315,87.603211,87.772334,87.983018,88.134575,88.008398
Suncron Orange S-3RL_I,0.025,55.596805,53.388524,50.829637,48.837501,46.950808,45.795974,45.406488,45.664251,46.252832,47.440511,49.427193,52.378654,56.292188,61.217654,66.652322,72.293687,77.014732,80.599749,83.055556,84.552401,85.400772,85.974061,86.241984,86.442095,86.703712,87.035286,87.363672,87.520659,87.741172,87.887955,87.760973
Suncron Orange S-3RL_I,0.05,47.583848,44.343564,41.277394,38.988566,37.00349,35.778961,35.371244,35.564917,36.150765,37.305346,39.307058,42.282745,46.311593,51.61103,57.790965,64.717531,71.178317,76.542872,80.576688,83.176875,84.731311,85.660207,86.092317,86.390495,86.684245,87.039584,87.427348,87.63032,87.883902,88.040191,87.933004
Suncron Orange S-3RL_I,0.1,39.054871,35.223269,32.106102,29.719174,27.845854,26.675078,26.298681,26.42976,26.976857,28.060734,29.955664,32.801434,36.740035,42.022723,48.393485,55.932039,63.543224,70.661926,76.461637,80.548406,83.155882,84.717363,85.474467,85.928476,86.311811,86.709332,87.151408,87.333918,87.596929,87.755758,87.659264
Suncron Orange S-3RL_I,0.25,27.21256,23.117989,20.202486,18.101031,16.524392,15.576741,15.252557,15.357223,15.763769,16.662177,18.231794,20.65295,24.17689,29.033101,35.121903,42.701548,50.986397,59.641004,67.839259,74.502826,79.391611,82.556993,84.210688,85.155642,85.792243,86.346471,86.864853,87.090337,87.443566,87.549728,87.577796
Suncron Orange S-3RL_I,0.5,19.092293,15.379213,12.976018,11.294378,10.056607,9.327391,9.110467,9.142923,9.478125,10.103193,11.286874,13.195428,16.092111,20.313312,25.813773,32.934302,41.113263,50.092375,59.357619,67.675418,74.540108,79.437613,82.196337,83.83683,84.839803,85.567391,86.246276,86.535436,86.960882,87.074244,87.271929
Suncron Orange S-3RL_I,1.0,12.648419,9.34528,7.611481,6.470503,5.653678,5.225601,5.040843,5.039395,5.215646,5.633475,6.351428,7.634017,9.715921,12.997398,17.592953,23.906383,31.535468,40.300125,49.817821,59.092402,67.591387,74.432802,78.714961,81.38178,83.005995,84.120989,85.04802,85.539609,86.158538,86.403382,86.654615
Suncron Orange S-3RL_I,2.0,7.929063,5.385013,4.304048,3.687537,3.285388,3.08533,2.968627,2.94967,3.042877,3.2253,3.53546,4.20304,5.389435,7.503816,10.833171,15.883327,22.528245,30.69745,40.014926,49.624911,59.231824,67.947906,74.12957,78.323102,80.878389,82.561821,83.80276,84.545553,85.283941,85.584337,85.916114
Suncron Orange S-3RL_I,4.0,5.010238,3.309323,2.748548,2.516321,2.313647,2.235808,2.178148,2.155373,2.18878,2.260082,2.362724,2.666423,3.1114,4.16271,6.12828,9.572803,14.711675,21.751976,30.398348,39.789215,49.794376,59.781003,67.818034,73.894274,77.866876,80.455691,82.316691,83.408999,84.618741,84.792948,85.398477
Suncron Orange S-3RL_I,6.0,4.045536,2.595686,2.349344,2.201907,2.06813,2.022611,1.986616,1.960683,1.978383,2.00985,2.050727,2.227068,2.507868,3.086722,4.383617,6.90314,11.022572,17.127636,25.110069,34.146154,44.108325,54.482043,63.294089,70.426148,75.322092,78.604198,80.86499,82.250696,83.724123,83.952594,84.643537
Suncron Orange S-4R 150%_I,0.01,63.154751,63.308251,62.038749,60.545504,59.214997,58.18125,57.788503,58.00125,58.593249,59.735751,61.379248,63.696253,66.351748,69.5355,73.272496,77.076745,80.566752,83.375758,85.505259,86.865008,87.890249,88.574249,88.879251,89.091253,89.227748,89.614505,89.905,90.094012,90.709758,90.640253,90.87925
Suncron Orange S-4R 150%_I,0.025,54.338747,52.688003,50.105751,47.738248,45.878497,44.551,43.961751,44.152251,44.710499,45.90725,47.709751,50.304252,53.462249,57.4175,62.327504,67.800498,73.005998,77.675509,81.650001,84.510499,86.712748,88.101,88.839501,89.22525,89.481509,89.9405,90.293002,90.558505,91.198748,91.01724,91.1645
Suncron Orange S-4R 150%_I,0.05,46.017247,43.543252,40.564251,38.018748,36.125499,34.795499,34.214002,34.382251,34.9365,36.103499,37.890998,40.423247,43.670499,47.788751,53.118503,59.322751,65.595746,71.615005,76.966745,81.177002,84.543753,86.82425,88.076001,88.788503,89.160246,89.6855,90.090752,90.366,91.030002,90.847242,90.987498
Suncron Orange S-4R 150%_I,0.1,37.428501,34.393752,31.362,28.867751,27.0495,25.813249,25.284499,25.411251,25.933999,27.021,28.65375,31.033,34.139001,38.214999,43.593499,49.996749,56.933498,64.025497,70.72199,76.3165,81.095499,84.575999,86.679751,87.928998,88.609004,89.323747,89.836252,90.135992,90.81825,90.694749,90.896249
Suncron Orange S-4R 150%_I,0.25,24.6795,21.460751,18.786249,16.641001,15.136501,14.13675,13.7095,13.780001,14.17975,14.99925,16.294999,18.202999,20.844501,24.462749,29.389751,35.371503,42.333749,50.120252,58.182746,65.662497,72.534752,78.280747,82.199007,84.830749,86.42,87.647253,88.485003,88.917506,89.809245,89.820755,90.142494
Suncron Orange S-4R 150%_I,0.5,17.046499,14.165749,11.95675,10.25825,9.119251,8.3855,8.085,8.09,8.42925,8.962499,9.90625,11.3615,13.46375,16.5115,20.844501,26.258999,32.846251,40.461004,48.752251,56.93475,65.005004,72.263002,77.652502,81.629252,84.154999,86.024505,87.306249,88.079244,89.125001,89.1765,89.498001
Suncron Orange S-4R 150%_I,1.0,10.3815,8.169501,6.67425,5.58225,4.8875,4.48725,4.30575,4.29025,4.4545,4.77125,5.312,6.19275,7.56525,9.7165,13.00825,17.43875,23.190503,30.234003,38.257253,46.624002,55.457002,64.091754,71.051002,76.600754,80.392003,83.130002,85.009253,86.151755,87.526,87.554759,87.996751
Suncron Orange S-4R 150%_I,2.0,6.12275,4.63625,3.81,3.24075,2.95475,2.7525,2.64775,2.62475,2.699,2.83925,3.074,3.5,4.17125,5.435,7.599,10.859249,15.496999,21.726,29.181251,37.252504,46.17025,55.511248,63.678503,70.69,75.942993,79.824501,82.566255,84.344757,86.179262,86.357749,86.966497
Suncron Orange S-4R 150%_I,4.0,4.75225,3.68175,3.10975,2.72225,2.517,2.39275,2.328,2.30975,2.35375,2.44175,2.586,2.9035,3.344,4.26925,5.9525,8.6575,12.6775,18.317002,25.328749,33.084252,41.82975,51.208252,59.689254,67.211497,73.030245,77.336752,80.404252,82.419497,84.542,84.830004,85.573751
Suncron Orange S-4R 150%_I,6.0,4.5615,3.565,3.04,2.70075,2.518,2.394,2.32475,2.3015,2.3445,2.4345,2.57475,2.86475,3.29575,4.20025,5.828,8.45525,12.37475,17.8985,24.794,32.432002,41.048005,50.28075,58.624005,66.02025,71.776998,76.07975,79.194754,81.300509,83.538747,83.893496,84.726
Suncron Orange S-4R_I,0.01,62.710166,62.534231,61.183792,60.037065,58.557498,57.572383,57.206708,57.535791,58.162552,59.264195,60.918593,63.134563,65.900743,69.283175,73.023111,76.942629,80.387914,83.190084,85.349447,86.838865,87.779427,88.389188,88.700503,88.90397,89.104861,89.483607,89.76056,89.965189,90.286803,90.416682,90.412259
Suncron Orange S-4R_I,0.025,53.820086,51.864719,49.270707,47.180375,45.228341,43.966413,43.428516,43.666995,44.261417,45.40948,47.227529,49.692023,52.923685,57.063967,61.973178,67.532396,72.742689,77.403426,81.365275,84.305835,86.321449,87.626439,88.319445,88.729453,89.064145,89.490694,89.820969,90.027338,90.336496,90.485454,90.459335
Suncron Orange S-4R_I,0.05,46.028808,42.988774,40.082428,37.806338,35.831422,34.533978,33.975762,34.198302,34.765458,35.903123,37.689599,40.127453,43.37486,47.681868,52.925694,59.178948,65.471464,71.512431,76.862037,81.134558,84.294671,86.440349,87.639529,88.361669,88.80493,89.329237,89.68904,89.903784,90.228742,90.386474,90.317607
Suncron Orange S-4R_I,0.1,37.810662,34.11561,31.16188,28.849179,26.946321,25.738734,25.203416,25.392342,25.913829,26.962927,28.638539,30.928713,34.052777,38.26918,43.543926,50.055581,57.013911,64.130193,70.8588,76.509959,81.044698,84.413165,86.440492,87.668127,88.388926,89.096934,89.553583,89.791602,90.17145,90.296382,90.349996
Suncron Orange S-4R_I,0.25,25.228357,21.346863,18.651399,16.580771,15.040365,14.048107,13.609028,13.706681,14.079788,14.899901,16.214883,18.081701,20.729966,24.443193,29.201111,35.339466,42.362881,50.1077,58.213681,65.778428,72.558129,78.148353,81.991786,84.614927,86.236781,87.454337,88.254571,88.763011,89.262551,89.558339,89.721835
Suncron Orange S-4R_I,0.5,17.721143,14.072669,11.82503,10.232312,9.04446,8.314144,8.01312,8.032731,8.287631,8.864018,9.829352,11.262591,13.380185,16.488318,20.626441,26.188713,32.799947,40.355995,48.659694,56.933874,64.927912,72.12491,77.443212,81.37784,83.918262,85.755074,86.94039,87.725317,88.405871,88.640106,89.046568
Suncron Orange S-4R_I,1.0,11.211287,8.269915,6.711408,5.666388,4.930206,4.495525,4.317402,4.306891,4.469981,4.823112,5.307321,6.201556,7.599075,9.8004,12.997903,17.593369,23.415968,30.450416,38.521683,46.977565,55.732161,64.296931,71.228576,76.643372,80.444235,83.143526,84.897608,85.984457,86.952394,87.293214,87.748969
Suncron Orange S-4R_I,2.0,6.880869,4.711386,3.810727,3.263722,2.910591,2.740549,2.624274,2.596813,2.663872,2.808404,2.995193,3.441583,4.132764,5.414935,7.509832,10.839577,15.506843,21.650369,29.093367,37.22358,46.081731,55.374861,63.559276,70.534945,75.774294,79.63742,82.284921,84.00383,85.562301,85.893023,86.562467
Suncron Orange S-4R_I,4.0,5.569148,3.829029,3.152428,2.759375,2.512308,2.394178,2.304271,2.275093,2.320066,2.411556,2.540316,2.881832,3.31022,4.268098,5.912951,8.678744,12.733823,18.31616,25.316197,33.152208,41.823673,51.180208,59.671396,67.170638,72.992194,77.327269,80.308348,82.27334,84.092093,84.534204,85.357499
Suncron Orange S-4R_I,6.0,5.314077,3.66936,3.107509,2.744206,2.512308,2.407751,2.330122,2.306413,2.34734,2.42804,2.550813,2.882833,3.293183,4.22396,5.838917,8.556912,12.549341,18.043609,24.956565,32.702157,41.266739,50.442982,58.777809,66.143972,71.86656,76.165736,79.189527,81.223273,83.178627,83.66394,84.574175
Suncron Orange SE-2R 150%_I,0.01,63.850117,63.048285,61.405253,59.975564,58.435202,57.643884,57.556397,57.939601,58.86932,60.240084,62.407672,65.341794,68.899488,72.89564,76.746404,80.194741,82.73564,84.319377,85.408884,86.011159,86.393464,86.687845,86.836416,86.998731,87.208486,87.491536,87.708449,87.857962,87.987512,87.909853,87.761724
Suncron Orange SE-2R 150%_I,0.025,54.480648,51.727796,48.921499,46.763328,44.901177,43.903029,43.750659,44.11895,45.069516,46.557224,48.963544,52.326703,56.68323,61.958569,67.65222,73.297173,77.875292,81.170446,83.473051,84.819108,85.561395,86.042696,86.294818,86.525136,86.800474,87.147027,87.438178,87.648511,87.858832,87.791735,87.634313
Suncron Orange SE-2R 150%_I,0.05,46.121231,42.388642,39.299375,36.992997,35.159436,34.145695,34.003833,34.370276,35.285145,36.745217,39.129457,42.517453,47.039688,52.720833,59.20105,66.193068,72.436625,77.41406,81.158084,83.48726,84.828079,85.663104,86.053884,86.386305,86.74382,87.151599,87.468177,87.6773,87.882364,87.78789,87.601697
Suncron Orange SE-2R 150%_I,0.1,37.458459,33.356354,30.314457,28.064519,26.363146,25.460389,25.388706,25.670913,26.52036,27.899739,30.172908,33.427411,37.857699,43.596727,50.37998,58.12639,65.657789,72.326148,77.740753,81.42724,83.717072,85.13751,85.810435,86.240387,86.639857,87.018907,87.299609,87.478048,87.658274,87.585223,87.390298
Suncron Orange SE-2R 150%_I,0.25,24.6288,20.659645,18.040664,16.160969,14.833672,14.116082,14.047782,14.250334,14.914858,16.027112,17.888744,20.646083,24.578652,29.906958,36.429155,44.343749,52.800471,61.313176,69.254458,75.481588,79.959315,82.867765,84.373403,85.286909,85.897946,86.45342,86.851358,87.153935,87.477911,87.407392,87.257993
Suncron Orange SE-2R 150%_I,0.5,16.595529,13.208504,11.123392,9.666226,8.700623,8.183092,8.130039,8.257491,8.727495,9.534827,10.922516,13.101386,16.357386,21.016861,26.986006,34.501544,42.921761,51.89718,60.972124,68.955874,75.361198,79.941535,82.549268,84.166056,85.106969,85.867637,86.331153,86.682296,87.0507,86.951047,86.829531
Suncron Orange SE-2R 150%_I,1.0,10.102854,7.554363,6.192098,5.297687,4.722995,4.452549,4.382968,4.467062,4.701371,5.180083,5.982868,7.389766,9.675913,13.278082,18.263713,24.955802,32.869029,41.775638,51.322562,60.358065,68.493533,74.944913,78.975087,81.578004,83.123833,84.251344,84.948272,85.396057,85.9182,85.852861,85.800993
Suncron Orange SE-2R 150%_I,2.0,5.735978,4.20927,3.484976,3.083942,2.827852,2.713393,2.649523,2.660968,2.767121,2.966357,3.305766,4.024271,5.290309,7.632867,11.277697,16.704053,23.683153,32.052159,41.502854,51.005733,60.275382,68.513262,74.243891,78.182131,80.5794,82.297879,83.417422,84.10064,84.84171,84.839475,84.866488
Suncron Orange SE-2R 150%_I,4.0,3.365891,2.636514,2.392046,2.253129,2.13519,2.101158,2.069465,2.053046,2.09088,2.157892,2.251865,2.558254,2.98473,4.108625,6.231493,9.929373,15.380636,22.661436,31.535792,40.952575,50.779593,60.379231,67.911077,73.592192,77.32265,79.881942,81.567973,82.637054,83.66316,83.67722,83.82048
Suncron Orange SE-2R 150%_I,6.0,2.664113,2.279809,2.1478,2.074775,1.997806,1.97467,1.949564,1.930565,1.950162,1.976744,2.007702,2.161845,2.395452,2.978236,4.321113,6.960251,11.266381,17.608048,25.809759,34.920084,44.76361,54.848975,63.230777,69.975173,74.609238,77.852118,80.007118,81.403047,82.740176,82.912898,83.085805
Suncron Orange SR_I,0.01,67.105141,68.630661,68.545547,68.167351,67.540482,68.054794,70.039291,74.107719,81.734421,85.596512,85.430702,82.851425,80.20314,78.639565,77.08036,76.422432,78.630974,86.437653,93.941727,95.923065,95.77887,94.559555,93.229492,92.672546,91.853241,90.734413,90.334961,89.713181,89.099792,88.996864,88.946579
Suncron Orange SR_I,0.025,62.63126,62.380672,60.617001,58.827579,57.250858,57.631882,59.959785,65.600685,76.988998,83.607498,82.889351,78.020355,73.613525,71.154129,68.731262,67.78669,71.293541,83.826218,98.684464,105.173996,106.036392,103.598122,100.808014,99.574051,97.680817,94.878555,93.602074,91.967079,90.718224,90.232826,90.102112
Suncron Orange SR_I,0.05,57.369839,55.614346,52.657211,50.129963,48.134186,48.39151,50.848442,57.169678,70.68499,79.005737,77.996445,71.719872,66.277405,63.367008,60.51981,59.539764,63.842564,79.246315,99.742424,111.880943,114.839577,112.505363,108.5103,106.824203,103.936623,99.391655,97.206749,94.564972,92.420959,91.654053,91.442635
Suncron Orange SR_I,0.1,50.453121,47.308868,43.764606,40.839027,38.734226,38.991295,41.320126,47.759514,62.215183,71.903763,70.799278,63.695576,57.810246,54.722984,51.763779,50.355751,55.753895,73.218521,98.498604,117.56263,126.06498,123.287941,117.845558,115.522659,111.38723,104.73896,101.496674,97.611855,94.365929,93.288017,93.016037
Suncron Orange SR_I,0.25,39.25985,35.023521,31.255028,28.188822,26.179609,26.318825,28.181303,33.786263,47.215931,56.979813,55.824341,48.615543,42.964676,40.250851,37.546089,36.339684,42.072212,61.010818,90.829155,119.062904,137.411179,137.570404,131.373932,129.070435,123.491386,113.567017,108.621254,102.612984,97.595451,95.546684,96.118759
Suncron Orange SR_I,0.5,30.398384,25.990368,22.459948,19.684254,17.854053,17.738443,19.127262,23.428564,34.371948,42.8494,41.820122,35.47868,30.747429,28.694025,26.532349,25.591087,31.128378,50.038181,81.847038,115.976234,143.019348,147.457306,141.551102,139.814255,133.358902,120.77581,114.351784,106.611801,100.070335,97.333145,98.402962
Suncron Orange SR_I,1.0,22.181826,17.877249,14.86384,12.580372,11.126113,10.935657,11.764243,14.322963,21.86413,28.216049,27.674437,22.768688,19.279446,18.037773,16.590443,15.949853,20.749733,38.32663,70.942215,110.180161,147.895645,159.632462,155.8452,155.416245,147.933929,131.690125,122.899757,112.439056,103.528381,100.018799,101.116196
Suncron Orange SR_I,2.0,15.091178,11.389847,9.098823,7.468727,6.481202,6.353731,6.647453,7.983961,12.583216,17.099295,16.904867,13.479531,11.090968,10.430107,9.597273,9.241604,12.795249,26.982018,56.150566,94.320007,135.424881,155.961014,158.041626,161.646744,155.72261,138.31636,128.544754,116.520393,106.16983,102.078712,103.564857
Suncron Orange SR_I,4.0,9.579006,6.69723,5.194864,4.251398,3.717189,3.626173,3.788204,4.3506,6.905702,10.031839,10.212476,7.977175,6.410009,6.029408,5.61639,5.452008,7.764157,17.674122,40.472473,73.713799,112.116623,135.0327,141.633636,149.031525,146.809296,132.532166,124.777122,114.182709,104.8368,102.435555,103.723488
Suncron Orange SR_I,6.0,7.291938,4.835623,3.776213,3.171533,2.883474,2.813392,2.925603,3.308483,5.344353,8.620299,9.354424,7.487625,6.03149,5.679269,5.305666,5.315946,7.270211,16.390188,37.442375,68.04248,101.80172,118.765617,121.029701,125.534485,123.928215,113.431946,109.128365,102.533508,97.80011,95.87709,100.026031
Suncron Orange T-FW_I,0.01,67.950147,70.227945,71.370864,71.29181,70.015013,68.634534,67.390501,66.60555,66.423684,66.769058,67.829752,69.665182,72.678024,76.498067,79.617774,81.918275,83.456099,84.481257,85.250616,85.666895,85.977829,86.227018,86.361593,86.524057,86.775887,87.119943,87.411135,87.631631,87.908232,88.025975,87.898928
Suncron Orange T-FW_I,0.025,63.255537,64.794046,64.809632,63.274765,60.618198,58.187443,56.207597,55.01706,54.641145,54.993904,56.225479,58.503932,62.55886,68.152463,73.341662,77.492189,80.541492,82.646543,84.15153,84.998631,85.529512,85.914701,86.083293,86.278272,86.542779,86.916316,87.24013,87.469709,87.753087,87.868673,87.77144
Suncron Orange T-FW_I,0.05,57.958382,58.768892,57.959759,55.557382,52.302283,49.463776,47.243771,45.959169,45.54621,45.911855,47.198939,49.580535,53.998446,60.392833,66.879672,72.564614,77.047819,80.486071,83.028525,84.540689,85.457563,86.030686,86.275899,86.505854,86.741757,87.085283,87.333345,87.529826,87.778944,87.896079,87.772197
Suncron Orange T-FW_I,0.1,50.527143,50.776482,49.381763,46.327233,42.739198,39.722985,37.456006,36.153182,35.761869,36.114463,37.385285,39.756498,44.246304,50.976062,58.161235,64.999717,70.893639,75.772715,79.599363,82.046199,83.524179,84.464025,84.917033,85.330009,85.73525,86.265218,86.791527,87.108719,87.545973,87.632501,87.71807
